Timestamp,Sensor_id_s,ax,ay,az,mx,my,mz,gx,gy,gz,Sensor_id_e
1644541153.1167316,1,-6.16,7.02,2.22,0.00,0.00,0.00,-0.32,-0.21,-0.25,1
1644541153.1177318,2,7.43,3.05,5.33,0.00,0.00,0.00,-0.17,-0.18,0.09,2
1644541153.1177318,1,-5.92,6.81,2.31,0.00,0.00,0.00,-0.26,-0.19,-0.25,1
1644541153.1187322,2,7.43,3.05,5.33,0.00,0.00,0.00,-0.19,-0.20,0.07,2
1644541153.1197324,1,-5.92,6.81,2.31,0.00,0.00,0.00,-0.19,-0.16,-0.25,1
1644541153.1197324,2,7.37,3.15,5.22,0.00,0.00,0.00,-0.21,-0.21,0.04,2
1644541153.1207328,1,-5.81,6.58,2.33,0.00,0.00,0.00,-0.18,-0.14,-0.25,1
1644541153.1217332,2,7.27,3.17,4.98,0.00,0.00,0.00,-0.32,-0.24,-0.02,2
1644541153.122733,1,-5.75,6.43,2.37,0.00,0.00,0.00,-0.05,-0.09,-0.23,1
1644541153.1237335,2,7.27,3.17,4.98,0.00,0.00,0.00,-0.34,-0.22,-0.01,2
1644541153.1237335,1,-5.75,6.43,2.37,0.00,0.00,0.00,-0.04,-0.09,-0.20,1
1644541153.1247337,2,7.26,3.06,4.66,0.00,0.00,0.00,-0.32,-0.18,-0.02,2
1644541153.1257339,1,-5.79,6.44,2.46,0.00,0.00,0.00,-0.06,-0.12,-0.17,1
1644541153.1257339,2,7.26,3.06,4.66,0.00,0.00,0.00,-A1,2
1644541153.126734,2,8.02,2.61,5.08,0.00,0.00,0.00,-0.26,0.08,-0.13,2
1644541153.1277342,1,-6.81,5.53,3.53,0.00,0.00,0.00,-0.07,0.15,0.05,1
1644541153.1287344,2,8.02,2.61,5.08,0.00,0.00,0.00,-0.26,0.08,-0.13,2
1644541153.1297348,1,-6.81,5.53,3.53,0.00,0.00,0.00,-0.07,0.15,0.05,1
1644541153.130735,2,8.02,2.61,5.08,0.00,0.00,0.00,-0.26,0.08,-0.13,2
1644541153.130735,1,-6.81,5.53,3.53,0.00,0.00,0.00,-0.06,0.17,0.06,1
1644541153.1317353,2,8.03,2.66,4.95,0.00,0.00,0.00,-0.32,0.12,-0.11,2
1644541153.1327355,1,-6.88,5.54,3.55,0.00,0.00,0.00,-0.01,0.18,0.07,1
